Star,Pressure,Temperature,mass,S,H,V,Cp,viscosity,SiO2,TiO2,Al2O3,Fe2O3,Cr2O3,FeO,MgO,CaO,Na2O
HD34688,10000.00,1328.00,19.374073,53.061995,-214896.356535,6.635895,29.090367,1.297,46.4059,1.63859,12.77,1.9005,0,14.5681,10.5621,10.6801,1.47478
HD24062,10000.00,1328.00,16.504437,45.353926,-180760.167900,5.685757,24.431958,1.459,49.0438,2.76166,9.61352,2.04585,0,14.7786,9.33088,10.4035,2.02221
HD163102,10000.00,1328.00,21.523171,58.548316,-235420.150994,7.209010,32.551938,0.920,42.4049,2.00586,13.3931,2.00361,0,16.0485,11.8586,11.4792,0.806313
HD96700,10000.00,1328.00,21.370102,58.503295,-238138.668082,7.305129,32.270577,1.215,45.41,1.55434,13.5387,1.85507,0,14.2636,11.1028,10.9004,1.37509
HD179346,10000.00,1328.00,19.756615,54.160307,-218476.697541,6.765732,29.613907,1.292,46.5132,1.96415,12.203,1.93773,0,14.5981,10.4333,10.7115,1.63912
HD28969,10000.00,1328.00,17.990391,49.260764,-192021.435008,6.033029,26.856406,0.977,44.2459,2.22907,10.2771,2.27124,0,17.5236,11.2125,10.4003,1.84034
HD142879,10000.00,1328.00,19.117409,52.418667,-211833.028547,6.560824,28.651624,1.327,46.8309,1.69386,12.3607,1.92537,0,14.4937,10.3304,10.7009,1.6642
HD197823,10000.00,1328.00,19.651937,54.082980,-218458.142794,6.784620,29.446686,1.394,47.8191,1.67893,11.9962,1.89642,0,14.0749,10.3506,10.14,2.04388
HD66039,10000.00,1328.00,22.480032,61.572261,-252863.160063,7.742673,33.920232,1.349,46.5374,1.49515,13.7946,1.76713,0,13.405,10.6504,10.9934,1.35698
HD214383,10000.00,1328.00,16.587025,45.189717,-176581.328826,5.533860,24.719314,0.964,43.6703,2.09505,10.8061,2.2698,0,18.0503,10.9331,10.8856,1.28976
HD180409,10000.00,1328.00,20.566798,56.387889,-228504.942431,7.045179,30.952403,1.262,46.0845,1.67912,12.8844,1.89207,0,14.3475,10.789,10.7235,1.59996
HD210918,10000.00,1328.00,23.161027,63.354917,-259972.876143,7.919754,35.135742,1.190,44.934,1.53962,14.3051,1.776,0,13.7387,11.4452,11.0826,1.17872
HD38385,10000.00,1328.00,33.343424,91.763238,-392519.138739,11.779769,50.981345,1.647,48.7567,1.17082,16.1175,1.28446,0,9.32452,10.8989,11.0375,1.40952
HD217958,10000.00,1328.00,24.971393,68.973613,-288047.314106,8.800432,37.754133,1.692,49.9454,1.50881,14.2663,1.4741,0,11.0913,10.4812,9.29218,1.94081
HIP46933,10000.00,1328.00,18.989857,51.837441,-206607.308511,6.409800,28.480248,1.084,44.4629,1.49156,12.329,2.08538,0,16.3916,10.9803,10.9373,1.322
HD220339,10000.00,1328.00,19.637570,53.779090,-218187.547798,6.733800,29.474817,1.316,46.5214,1.78541,12.7255,1.89046,0,14.3143,10.3962,10.8892,1.4776
HD131183,10000.00,1328.00,22.893457,62.713111,-256646.419901,7.828751,34.740826,1.188,45.0671,1.5246,14.2688,1.76865,0,13.9424,11.6936,10.4576,1.27727
HD1581,10000.00,1328.00,21.358654,58.517098,-238730.158896,7.326944,32.217481,1.278,46.0155,1.64782,13.4301,1.82754,0,13.9064,10.8572,10.874,1.44141
HD84305,10000.00,1328.00,19.879647,54.482765,-221265.378131,6.827175,29.851604,1.331,46.6903,1.77897,12.744,1.87459,0,14.1338,10.4143,10.8186,1.5454
HD38355,10000.00,1328.00,20.396434,56.070645,-227998.756296,7.040577,30.668974,1.392,47.4904,1.42545,12.9708,1.81623,0,13.9265,10.667,9.92274,1.78096
HD113513,10000.00,1328.00,30.358803,83.436710,-355865.110692,10.675488,46.396743,1.606,48.266,1.36108,16.4406,1.30367,0,9.97667,11.1213,10.3664,1.16428
HD2071,10000.00,1328.00,20.434512,55.985211,-227313.850898,7.005626,30.733635,1.291,46.2816,1.59537,13,1.87911,0,14.2988,10.6427,10.7954,1.50693
HD75289,10000.00,1328.00,23.646455,64.763061,-269283.760131,8.203620,35.725731,1.473,47.4486,1.53773,14.3126,1.63778,0,12.3064,10.3849,11.162,1.21004
