Star,Mass
HD38510,
HD38772,2.186863
HD38858,1.878468
HD38973,2.599012
HD39091,1.969284
HD39194,
HD39427,2.068905
HD3964,1.881808
HD40105,1.251923
HD4021,2.774755
HD40307,1.752911
HD40397,
HD40483,2.374426
HD40503,2.40948
HD40865,
HD41087,1.721314
HD41248,1.559022
HD41323,1.990791
HD4208,
HD42505,1.021465
HD4307,
HD4308,
HD43197,1.607416
HD44120,2.755948
HD44219,2.390394
HD44420,
HD44447,
HD4457,
HD44573,1.981582
HD44594,2.112854
HD44804,2.396589
HD45184,1.922926
HD45289,
HD45364,
HD457,2.192124
HD4597,
HD45977,33.821656
HD47186,0.378406
HD48115,2.500038
HD4838,1.528915
HD48611,
HD49035,1.177348
HD4915,1.548791
HD50590,
HD50806,
HD51608,
HD51754,
HD52265,3.129296
HD52449,4.57993
HD52919,3.485717
HD5349,3.116792
HD5388,1.338686
HD54521,1.950276
HD55,1.14185
HD55693,6.878912
HD56274,
HD56380,
HD564,1.688999
HD57568,1.415851
HD58489,
HD58676,2.31092
HD59468,1.901081
HD59711A,1.770811
HD59984,
HD61051,
HD61383,
HD61447,3.415449
HD61902,
HD61986,
HD62128,1.23936
HD62364,
HD62847,2.053509
HD62849,2.155818
HD63454,5.140299
HD6348,
HD63685,
HD63754,1.920036
HD63765,1.310253
HD64640,
HD65216,1.701122
HD65277,
HD65562,
HD65907A,
HD65982,3.252483
HD66039,3.205849
HD66040,2.029541
HD66168,5.882742
HD66221,2.109249
HD66340,1.750997
HD66428,
HD6673,1.908723
HD66740,5.90145
HD66838,1.759158
HD67,1.68669
HD6718,1.920245
HD67200,7.7456
HD6735,2.54744
HD67458,2.583508
HD68089,
HD68284,
HD68287,3.65395
HD68607,1.564646
HD68978A,2.919697
HD69611,
HD69655,2.480705
HD69830,1.967949
HD70642,
HD70889,2.063106
HD70903,2.332126
HD71334,2.155894
HD7134,
HD71479,2.510528
HD71685,3.006687
HD71835,1.810843
HD7199,
HD72374,2.356069
HD72579,
HD72659,2.324927
HD72673,
